Year,Units,Geography,Fuel type,Demand characteristics,Value
2018,Terajoules,New Brunswick,Total refined petroleum products,Total transportation,52571.0
2019,Terajoules,New Brunswick,Total refined petroleum products,Total transportation,51022.0
2015,Terajoules,New Brunswick,Total refined petroleum products,Agriculture,1586.0
2016,Terajoules,New Brunswick,Total refined petroleum products,Agriculture,1888.0
2017,Terajoules,New Brunswick,Total refined petroleum products,Agriculture,1633.0
2018,Terajoules,New Brunswick,Total refined petroleum products,Agriculture,1490.0
2019,Terajoules,New Brunswick,Total refined petroleum products,Agriculture,1402.0
2015,Terajoules,New Brunswick,Total refined petroleum products,Residential,7829.0
2016,Terajoules,New Brunswick,Total refined petroleum products,Residential,7058.0
2017,Terajoules,New Brunswick,Total refined petroleum products,Residential,6917.0
2018,Terajoules,New Brunswick,Total refined petroleum products,Residential,6805.0
2019,Terajoules,New Brunswick,Total refined petroleum products,Residential,5720.0
2015,Terajoules,New Brunswick,Total refined petroleum products,Public administration,3488.0
2016,Terajoules,New Brunswick,Total refined petroleum products,Public administration,2810.0
2017,Terajoules,New Brunswick,Total refined petroleum products,Public administration,2365.0
2018,Terajoules,New Brunswick,Total refined petroleum products,Public administration,2629.0
2019,Terajoules,New Brunswick,Total refined petroleum products,Public administration,2442.0
2015,Terajoules,New Brunswick,Total refined petroleum products,Commercial and other institutional,1929.0
2016,Terajoules,New Brunswick,Total refined petroleum products,Commercial and other institutional,1786.0
2017,Terajoules,New Brunswick,Total refined petroleum products,Commercial and other institutional,992.0
2018,Terajoules,New Brunswick,Total refined petroleum products,Commercial and other institutional,1277.0
2019,Terajoules,New Brunswick,Total refined petroleum products,Commercial and other institutional,1066.0
2015,Terajoules,Quebec,Total primary and secondary energy,Energy use - final demand,1587985.0
2016,Terajoules,Quebec,Total primary and secondary energy,Energy use - final demand,1576431.0
2017,Terajoules,Quebec,Total primary and secondary energy,Energy use - final demand,
2018,Terajoules,Quebec,Total primary and secondary energy,Energy use - final demand,1650053.0
2019,Terajoules,Quebec,Total primary and secondary energy,Energy use - final demand,1694695.0
2015,Terajoules,Quebec,Total primary and secondary energy,Total industrial,518685.0
2016,Terajoules,Quebec,Total primary and secondary energy,Total industrial,507834.0
2017,Terajoules,Quebec,Total primary and secondary energy,Total industrial,512528.0
2018,Terajoules,Quebec,Total primary and secondary energy,Total industrial,537481.0
2019,Terajoules,Quebec,Total primary and secondary energy,Total industrial,559294.0
2015,Terajoules,Quebec,Total primary and secondary energy,Total transportation,501906.0
2016,Terajoules,Quebec,Total primary and secondary energy,Total transportation,513111.0
2017,Terajoules,Quebec,Total primary and secondary energy,Total transportation,522690.0
2018,Terajoules,Quebec,Total primary and secondary energy,Total transportation,522397.0
2019,Terajoules,Quebec,Total primary and secondary energy,Total transportation,531879.0
2015,Terajoules,Quebec,Total primary and secondary energy,Agriculture,33192.0
2016,Terajoules,Quebec,Total primary and secondary energy,Agriculture,33650.0
2017,Terajoules,Quebec,Total primary and secondary energy,Agriculture,33915.0
2018,Terajoules,Quebec,Total primary and secondary energy,Agriculture,35642.0
2019,Terajoules,Quebec,Total primary and secondary energy,Agriculture,36092.0
2015,Terajoules,Quebec,Total primary and secondary energy,Residential,286782.0
2016,Terajoules,Quebec,Total primary and secondary energy,Residential,281691.0
2017,Terajoules,Quebec,Total primary and secondary energy,Residential,280833.0
2018,Terajoules,Quebec,Total primary and secondary energy,Residential,293628.0
2019,Terajoules,Quebec,Total primary and secondary energy,Residential,300377.0
2015,Terajoules,Quebec,Total primary and secondary energy,Public administration,38068.0
2016,Terajoules,Quebec,Total primary and secondary energy,Public administration,37791.0
2017,Terajoules,Quebec,Total primary and secondary energy,Public administration,38387.0
2018,Terajoules,Quebec,Total primary and secondary energy,Public administration,40909.0
2019,Terajoules,Quebec,Total primary and secondary energy,Public administration,39850.0
2015,Terajoules,Quebec,Total primary and secondary energy,Commercial and other institutional,209736.0
2016,Terajoules,Quebec,Total primary and secondary energy,Commercial and other institutional,202353.0
2017,Terajoules,Quebec,Total primary and secondary energy,Commercial and other institutional,217791.0
2018,Terajoules,Quebec,Total primary and secondary energy,Commercial and other institutional,219996.0
2019,Terajoules,Quebec,Total primary and secondary energy,Commercial and other institutional,227204.0
2015,Terajoules,Quebec,Total coal,Energy use - final demand,
2016,Terajoules,Quebec,Total coal,Energy use - final demand,14855.0
2017,Terajoules,Quebec,Total coal,Energy use - final demand,
2018,Terajoules,Quebec,Total coal,Energy use - final demand,9520.0
2019,Terajoules,Quebec,Total coal,Energy use - final demand,10551.0
2015,Terajoules,Quebec,Total coal,Total industrial,
2016,Terajoules,Quebec,Total coal,Total industrial,14855.0
2017,Terajoules,Quebec,Total coal,Total industrial,
2018,Terajoules,Quebec,Total coal,Total industrial,9520.0
2019,Terajoules,Quebec,Total coal,Total industrial,10551.0
2015,Terajoules,Quebec,Natural gas,Energy use - final demand,255233.0
2016,Terajoules,Quebec,Natural gas,Energy use - final demand,237491.0
2017,Terajoules,Quebec,Natural gas,Energy use - final demand,249788.0
2018,Terajoules,Quebec,Natural gas,Energy use - final demand,252003.0
2019,Terajoules,Quebec,Natural gas,Energy use - final demand,252869.0
2015,Terajoules,Quebec,Natural gas,Total industrial,151932.0
2016,Terajoules,Quebec,Natural gas,Total industrial,135897.0
2017,Terajoules,Quebec,Natural gas,Total industrial,142970.0
2018,Terajoules,Quebec,Natural gas,Total industrial,149758.0
2019,Terajoules,Quebec,Natural gas,Total industrial,146600.0
2015,Terajoules,Quebec,Natural gas,Total transportation,7961.0
2016,Terajoules,Quebec,Natural gas,Total transportation,5191.0
2017,Terajoules,Quebec,Natural gas,Total transportation,3044.0
2018,Terajoules,Quebec,Natural gas,Total transportation,3058.0
2019,Terajoules,Quebec,Natural gas,Total transportation,3343.0
2015,Terajoules,Quebec,Natural gas,Agriculture,1123.0
2016,Terajoules,Quebec,Natural gas,Agriculture,1149.0
2017,Terajoules,Quebec,Natural gas,Agriculture,1213.0
2018,Terajoules,Quebec,Natural gas,Agriculture,1350.0
2019,Terajoules,Quebec,Natural gas,Agriculture,1347.0
2015,Terajoules,Quebec,Natural gas,Residential,22681.0
2016,Terajoules,Quebec,Natural gas,Residential,22325.0
2017,Terajoules,Quebec,Natural gas,Residential,23028.0
2018,Terajoules,Quebec,Natural gas,Residential,24079.0
2019,Terajoules,Quebec,Natural gas,Residential,28538.0
2015,Terajoules,Quebec,Natural gas,Public administration,4906.0
2016,Terajoules,Quebec,Natural gas,Public administration,4821.0
2017,Terajoules,Quebec,Natural gas,Public administration,4919.0
2018,Terajoules,Quebec,Natural gas,Public administration,3880.0
2019,Terajoules,Quebec,Natural gas,Public administration,4551.0
2015,Terajoules,Quebec,Natural gas,Commercial and other institutional,66630.0
2016,Terajoules,Quebec,Natural gas,Commercial and other institutional,68107.0
2017,Terajoules,Quebec,Natural gas,Commercial and other institutional,74615.0
2018,Terajoules,Quebec,Natural gas,Commercial and other institutional,69879.0
2019,Terajoules,Quebec,Natural gas,Commercial and other institutional,68491.0
2015,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Energy use - final demand,16370.0
2016,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Energy use - final demand,17263.0
2017,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Energy use - final demand,16490.0
2018,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Energy use - final demand,17579.0
2019,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Energy use - final demand,18295.0
2015,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Total industrial,2064.0
2016,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Total industrial,1909.0
2017,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Total industrial,2125.0
2018,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Total industrial,2338.0
2019,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Total industrial,2174.0
2015,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Total transportation,765.0
2016,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Total transportation,800.0
2017,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Total transportation,732.0
2018,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Total transportation,778.0
2019,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Total transportation,822.0
2015,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Agriculture,4853.0
2016,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Agriculture,5072.0
2017,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Agriculture,4684.0
2018,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Agriculture,4977.0
2019,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Agriculture,5264.0
2015,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Residential,1589.0
2016,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Residential,1660.0
2017,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Residential,1610.0
2018,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Residential,1711.0
2019,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Residential,1809.0
2015,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Public administration,
2016,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Public administration,
2015,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional,7484.0
2016,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional,7821.0
2017,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional,7319.0
2018,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional,7776.0
2019,Terajoules,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional,8225.0
2015,Terajoules,Quebec,Hydroelectricity,Energy use - final demand,678602.0
2016,Terajoules,Quebec,Hydroelectricity,Energy use - final demand,676125.0
2017,Terajoules,Quebec,Hydroelectricity,Energy use - final demand,675350.0
2018,Terajoules,Quebec,Hydroelectricity,Energy use - final demand,708715.0
2019,Terajoules,Quebec,Hydroelectricity,Energy use - final demand,733602.0
2015,Terajoules,Quebec,Hydroelectricity,Total industrial,294630.0
2016,Terajoules,Quebec,Hydroelectricity,Total industrial,299543.0
2017,Terajoules,Quebec,Hydroelectricity,Total industrial,294473.0
2018,Terajoules,Quebec,Hydroelectricity,Total industrial,306613.0
2019,Terajoules,Quebec,Hydroelectricity,Total industrial,326436.0
2015,Terajoules,Quebec,Hydroelectricity,Total transportation,1741.0
2016,Terajoules,Quebec,Hydroelectricity,Total transportation,1724.0
2017,Terajoules,Quebec,Hydroelectricity,Total transportation,1713.0
2018,Terajoules,Quebec,Hydroelectricity,Total transportation,1721.0
2019,Terajoules,Quebec,Hydroelectricity,Total transportation,1726.0
2015,Terajoules,Quebec,Hydroelectricity,Agriculture,6449.0
2016,Terajoules,Quebec,Hydroelectricity,Agriculture,6524.0
2017,Terajoules,Quebec,Hydroelectricity,Agriculture,6584.0
2018,Terajoules,Quebec,Hydroelectricity,Agriculture,7671.0
2019,Terajoules,Quebec,Hydroelectricity,Agriculture,7714.0
2015,Terajoules,Quebec,Hydroelectricity,Residential,242876.0
2016,Terajoules,Quebec,Hydroelectricity,Residential,236055.0
2017,Terajoules,Quebec,Hydroelectricity,Residential,239778.0
2018,Terajoules,Quebec,Hydroelectricity,Residential,251704.0
2019,Terajoules,Quebec,Hydroelectricity,Residential,254689.0
2015,Terajoules,Quebec,Hydroelectricity,Public administration,27346.0
2016,Terajoules,Quebec,Hydroelectricity,Public administration,27403.0
2017,Terajoules,Quebec,Hydroelectricity,Public administration,26540.0
2018,Terajoules,Quebec,Hydroelectricity,Public administration,28652.0
2019,Terajoules,Quebec,Hydroelectricity,Public administration,28279.0
2015,Terajoules,Quebec,Hydroelectricity,Commercial and other institutional,105560.0
2016,Terajoules,Quebec,Hydroelectricity,Commercial and other institutional,104876.0
2017,Terajoules,Quebec,Hydroelectricity,Commercial and other institutional,106263.0
2018,Terajoules,Quebec,Hydroelectricity,Commercial and other institutional,112352.0
2019,Terajoules,Quebec,Hydroelectricity,Commercial and other institutional,114758.0
2015,Terajoules,Quebec,Steam,Energy use - final demand,
2016,Terajoules,Quebec,Steam,Energy use - final demand,4278.0
2017,Terajoules,Quebec,Steam,Energy use - final demand,2744.0
2018,Terajoules,Quebec,Steam,Energy use - final demand,3895.0
2019,Terajoules,Quebec,Steam,Energy use - final demand,3976.0
2015,Terajoules,Quebec,Steam,Total industrial,
2016,Terajoules,Quebec,Steam,Total industrial,4278.0
2017,Terajoules,Quebec,Steam,Total industrial,2744.0
2018,Terajoules,Quebec,Steam,Total industrial,3895.0
2019,Terajoules,Quebec,Steam,Total industrial,3976.0
2015,Terajoules,Quebec,Steam,Residential,0.0
2016,Terajoules,Quebec,Steam,Residential,0.0
2017,Terajoules,Quebec,Steam,Residential,0.0
2018,Terajoules,Quebec,Steam,Residential,0.0
2019,Terajoules,Quebec,Steam,Residential,0.0
2015,Terajoules,Quebec,Steam,Commercial and other institutional,0.0
2016,Terajoules,Quebec,Steam,Commercial and other institutional,0.0
2017,Terajoules,Quebec,Steam,Commercial and other institutional,0.0
2018,Terajoules,Quebec,Steam,Commercial and other institutional,0.0
2019,Terajoules,Quebec,Steam,Commercial and other institutional,0.0
2015,Terajoules,Quebec,Coke,Energy use - final demand,
2016,Terajoules,Quebec,Coke,Energy use - final demand,
2017,Terajoules,Quebec,Coke,Energy use - final demand,
2018,Terajoules,Quebec,Coke,Energy use - final demand,6141.0
2019,Terajoules,Quebec,Coke,Energy use - final demand,5936.0
2015,Terajoules,Quebec,Coke,Total industrial,
2016,Terajoules,Quebec,Coke,Total industrial,
2017,Terajoules,Quebec,Coke,Total industrial,
2018,Terajoules,Quebec,Coke,Total industrial,6141.0
2019,Terajoules,Quebec,Coke,Total industrial,5936.0
2015,Terajoules,Quebec,Total refined petroleum products,Energy use - final demand,617368.0
2016,Terajoules,Quebec,Total refined petroleum products,Energy use - final demand,625510.0
2017,Terajoules,Quebec,Total refined petroleum products,Energy use - final demand,648609.0
2018,Terajoules,Quebec,Total refined petroleum products,Energy use - final demand,652199.0
2019,Terajoules,Quebec,Total refined petroleum products,Energy use - final demand,669468.0
2015,Terajoules,Quebec,Total refined petroleum products,Total industrial,49648.0
2016,Terajoules,Quebec,Total refined petroleum products,Total industrial,50442.0
2017,Terajoules,Quebec,Total refined petroleum products,Total industrial,57036.0
2018,Terajoules,Quebec,Total refined petroleum products,Total industrial,59216.0
2019,Terajoules,Quebec,Total refined petroleum products,Total industrial,63622.0
