Year,Geography,Type of work,National Occupational Classification (NOC),Age,Value
2016,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.62
2017,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.79
2018,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.95
2019,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.71
2020,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.82
2015,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,15 years and over,0.8
2016,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,15 years and over,0.8
2017,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,15 years and over,0.87
2018,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,15 years and over,0.88
2019,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,15 years and over,0.82
2020,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,15 years and over,0.89
2015,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,15 to 24 years,0.88
2016,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,15 to 24 years,0.93
2017,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,15 to 24 years,0.96
2018,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,15 to 24 years,0.98
2019,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,15 to 24 years,1.07
2020,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,15 to 24 years,1.07
2015,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,25 to 54 years,0.79
2016,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,25 to 54 years,0.78
2017,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,25 to 54 years,0.89
2018,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,25 to 54 years,0.9
2019,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,25 to 54 years,0.86
2020,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,25 to 54 years,0.87
2015,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,55 years and over,0.64
2016,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,55 years and over,0.75
2017,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,55 years and over,0.72
2018,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,55 years and over,0.71
2019,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,55 years and over,0.73
2020,Newfoundland and Labrador,Full-time employees,Total employees - all occupations,55 years and over,0.77
2015,Newfoundland and Labrador,Full-time employees,Management occupations [0],15 years and over,0.81
2016,Newfoundland and Labrador,Full-time employees,Management occupations [0],15 years and over,0.83
2017,Newfoundland and Labrador,Full-time employees,Management occupations [0],15 years and over,0.83
2018,Newfoundland and Labrador,Full-time employees,Management occupations [0],15 years and over,1.02
2019,Newfoundland and Labrador,Full-time employees,Management occupations [0],15 years and over,0.94
2020,Newfoundland and Labrador,Full-time employees,Management occupations [0],15 years and over,0.97
2015,Newfoundland and Labrador,Full-time employees,Management occupations [0],15 to 24 years,
2016,Newfoundland and Labrador,Full-time employees,Management occupations [0],15 to 24 years,
2017,Newfoundland and Labrador,Full-time employees,Management occupations [0],15 to 24 years,
2018,Newfoundland and Labrador,Full-time employees,Management occupations [0],15 to 24 years,
2019,Newfoundland and Labrador,Full-time employees,Management occupations [0],15 to 24 years,
2020,Newfoundland and Labrador,Full-time employees,Management occupations [0],15 to 24 years,
2015,Newfoundland and Labrador,Full-time employees,Management occupations [0],25 to 54 years,0.84
2016,Newfoundland and Labrador,Full-time employees,Management occupations [0],25 to 54 years,0.91
2017,Newfoundland and Labrador,Full-time employees,Management occupations [0],25 to 54 years,0.92
2018,Newfoundland and Labrador,Full-time employees,Management occupations [0],25 to 54 years,1.03
2019,Newfoundland and Labrador,Full-time employees,Management occupations [0],25 to 54 years,0.83
2020,Newfoundland and Labrador,Full-time employees,Management occupations [0],25 to 54 years,0.97
2015,Newfoundland and Labrador,Full-time employees,Management occupations [0],55 years and over,0.82
2016,Newfoundland and Labrador,Full-time employees,Management occupations [0],55 years and over,0.62
2017,Newfoundland and Labrador,Full-time employees,Management occupations [0],55 years and over,0.62
2018,Newfoundland and Labrador,Full-time employees,Management occupations [0],55 years and over,0.95
2019,Newfoundland and Labrador,Full-time employees,Management occupations [0],55 years and over,0.89
2020,Newfoundland and Labrador,Full-time employees,Management occupations [0],55 years and over,
2015,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],15 years and over,0.84
2016,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],15 years and over,0.86
2017,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],15 years and over,0.92
2018,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],15 years and over,0.91
2019,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],15 years and over,0.9
2020,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],15 years and over,0.83
2015,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],15 to 24 years,
2016,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],15 to 24 years,
2017,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],15 to 24 years,
2018,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],15 to 24 years,1.21
2019,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],15 to 24 years,1.18
2020,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],15 to 24 years,
2015,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],25 to 54 years,0.86
2016,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],25 to 54 years,0.88
2017,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],25 to 54 years,0.94
2018,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],25 to 54 years,0.85
2019,Newfoundland and Labrador,Full-time employees,Business - finance and administration occupations [1],25 to 54 years,0.89
