Year,Units,Geography,Offences,Age of accused,Sex of accused,Value
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,"Total, sex of accused",59.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,"Total, sex of accused",64.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,"Total, sex of accused",72.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,"Total, sex of accused",50.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Males,40.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Males,71.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Males,66.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Males,74.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Males,72.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Females,31.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Females,29.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Females,51.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Females,64.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Females,36.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Sex unknown,47.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Sex unknown,29.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Sex unknown,8.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Sex unknown,29.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Sex unknown,22.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused","Total, sex of accused",106.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused","Total, sex of accused",106.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused","Total, sex of accused",107.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused","Total, sex of accused",118.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused","Total, sex of accused",134.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Males,104.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Males,104.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Males,106.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Males,117.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Males,135.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Females,120.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Females,108.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Females,110.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Females,120.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Females,129.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Company,26.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Company,289.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Company,29.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Company,9.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Company,345.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Sex unknown,304.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Sex unknown,192.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Sex unknown,157.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Sex unknown,109.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Sex unknown,307.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,"Total, sex of accused",103.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,"Total, sex of accused",102.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,"Total, sex of accused",106.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,"Total, sex of accused",122.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,"Total, sex of accused",136.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Males,101.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Males,99.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Males,106.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Males,121.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Males,140.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Females,105.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Females,107.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Females,113.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Females,127.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Females,127.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Sex unknown,0.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Sex unknown,0.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Sex unknown,0.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Sex unknown,0.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Sex unknown,249.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,"Total, sex of accused",108.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,"Total, sex of accused",105.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,"Total, sex of accused",113.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,"Total, sex of accused",113.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,"Total, sex of accused",128.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Males,99.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Males,105.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Males,113.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Males,115.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Males,128.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Females,127.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Females,106.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Females,116.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Females,109.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Females,127.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Sex unknown,0.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Sex unknown,0.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Sex unknown,0.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Sex unknown,4.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Sex unknown,279.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,"Total, sex of accused",113.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,"Total, sex of accused",114.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,"Total, sex of accused",103.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,"Total, sex of accused",113.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,"Total, sex of accused",134.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Males,112.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Males,112.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Males,104.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Males,113.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Males,133.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Females,117.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Females,124.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Females,94.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Females,114.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Females,135.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Sex unknown,304.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Sex unknown,192.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Sex unknown,0.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Sex unknown,0.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Sex unknown,0.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,"Total, sex of accused",119.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,"Total, sex of accused",108.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,"Total, sex of accused",113.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,"Total, sex of accused",131.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,"Total, sex of accused",149.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Males,115.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Males,108.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Males,114.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Males,133.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Males,148.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Females,127.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Females,108.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Females,113.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Females,125.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Females,157.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Sex unknown,339.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Sex unknown,223.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Sex unknown,12.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Sex unknown,185.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Sex unknown,307.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,55 years and over,"Total, sex of accused",106.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,55 years and over,"Total, sex of accused",94.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,55 years and over,"Total, sex of accused",96.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,55 years and over,"Total, sex of accused",122.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,55 years and over,"Total, sex of accused",135.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,55 years and over,Males,106.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,55 years and over,Males,98.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,55 years and over,Males,92.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,55 years and over,Males,119.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,55 years and over,Males,139.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,55 years and over,Females,119.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,55 years and over,Females,86.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,55 years and over,Females,119.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,55 years and over,Females,145.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,55 years and over,Females,117.0
2014/2015,Adult criminal courts,New Brunswick,Total offences,55 years and over,Sex unknown,0.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,55 years and over,Sex unknown,0.0
2016/2017,Adult criminal courts,New Brunswick,Total offences,55 years and over,Sex unknown,337.0
2017/2018,Adult criminal courts,New Brunswick,Total offences,55 years and over,Sex unknown,292.0
2018/2019,Adult criminal courts,New Brunswick,Total offences,55 years and over,Sex unknown,317.0
2014/2015,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused","Total, sex of accused",106.0
2015/2016,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused","Total, sex of accused",107.0
2016/2017,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused","Total, sex of accused",108.0
2017/2018,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused","Total, sex of accused",120.0
2018/2019,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused","Total, sex of accused",135.0
2014/2015,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused",Males,106.0
2015/2016,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused",Males,106.0
2016/2017,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused",Males,109.0
2017/2018,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused",Males,120.0
2018/2019,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused",Males,136.0
2014/2015,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused",Females,117.0
2015/2016,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused",Females,109.0
2016/2017,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused",Females,107.0
2017/2018,Adult criminal courts,New Brunswick,Total Criminal Code,"Total, age of accused",Females,119.0
