Year,data.Geography,data.Type of work,data.National Occupational Classification (NOC),data.Age,Value
2019,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2015,data.Nova Scotia,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 years and over,0.9
2016,data.Nova Scotia,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 years and over,0.91
2017,data.Nova Scotia,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 years and over,0.89
2018,data.Nova Scotia,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 years and over,0.9
2019,data.Nova Scotia,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 years and over,0.86
2020,data.Nova Scotia,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 years and over,0.9
2015,data.Nova Scotia,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.93
2016,data.Nova Scotia,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.92
2017,data.Nova Scotia,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.95
2018,data.Nova Scotia,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.94
2019,data.Nova Scotia,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.92
