Year,Units,Geography,Offences,Age,Sex,Value
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Females,120.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Females,143.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Sex unknown,65.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Sex unknown,111.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Sex unknown,113.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Sex unknown,96.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Sex unknown,84.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Total,225.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Total,228.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Total,211.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Total,203.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Total,206.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Males,236.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Males,239.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Males,223.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Males,213.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Males,225.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Females,207.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Females,199.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Females,181.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Females,174.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Females,188.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Company,0.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Company,0.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Company,0.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Company,0.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Company,0.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Sex unknown,175.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Sex unknown,185.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Sex unknown,176.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Sex unknown,176.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,Total,Sex unknown,156.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Total,233.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Total,247.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Total,235.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Total,225.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Total,219.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Males,244.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Males,251.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Males,250.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Males,259.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Males,233.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Females,196.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Females,240.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Females,206.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Females,165.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Females,201.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Sex unknown,221.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Sex unknown,220.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Sex unknown,195.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Sex unknown,194.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Sex unknown,197.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Total,241.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Total,232.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Total,210.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Total,199.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Total,206.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Males,253.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Males,246.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Males,217.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Males,202.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Males,232.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Females,235.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Females,190.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Females,191.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Females,206.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Females,176.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Sex unknown,145.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Sex unknown,206.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Sex unknown,203.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Sex unknown,169.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Sex unknown,145.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Total,220.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Total,230.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Total,208.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Total,204.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Total,205.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Males,225.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Males,248.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Males,225.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Males,217.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Males,221.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Females,218.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Females,189.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Females,176.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Females,174.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Females,208.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Sex unknown,167.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Sex unknown,190.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Sex unknown,133.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Sex unknown,198.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Sex unknown,131.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Total,216.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Total,214.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Total,193.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Total,199.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Total,199.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Males,232.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Males,225.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Males,211.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Males,207.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Males,211.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Females,192.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Females,193.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Females,141.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Females,164.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Females,183.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Sex unknown,149.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Sex unknown,177.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Sex unknown,149.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Sex unknown,134.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Sex unknown,150.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Total,191.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Total,198.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Total,181.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Total,179.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Total,189.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Males,213.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Males,212.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Males,191.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Males,190.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Males,191.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Females,141.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Females,147.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Females,157.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Females,125.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Females,204.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Sex unknown,127.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Sex unknown,129.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Sex unknown,95.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Sex unknown,111.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Sex unknown,144.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,Total,Total,196.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,Total,Total,204.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,Total,Total,186.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,Total,Total,197.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,Total,Total,210.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,Total,Males,205.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,Total,Males,204.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,Total,Males,195.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,Total,Males,197.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,Total,Males,224.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,Total,Females,199.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,Total,Females,208.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,Total,Females,183.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,Total,Females,197.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,Total,Females,224.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,Total,Company,0.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,Total,Company,98.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,Total,Company,506.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,Total,Company,0.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,Total,Company,0.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,Total,Sex unknown,121.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,Total,Sex unknown,182.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,Total,Sex unknown,154.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,Total,Sex unknown,163.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,Total,Sex unknown,129.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Total,204.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Total,218.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Total,197.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Total,218.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Total,242.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Males,211.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Males,220.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Males,213.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Males,224.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Males,274.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Females,211.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Females,218.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Females,211.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Females,213.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Females,223.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Sex unknown,128.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Sex unknown,210.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Sex unknown,142.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Sex unknown,206.0
