Year,Geography,Industry,Enterprise size,Innovations with environmental benefits,GeoCode,Value
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Innovations with environmental benefits from production through efficient use of resources,,36.7
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced material use per unit of output,,20.1
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced energy use per unit of output,,12.7
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,8.3
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),"Reduced consumption of resources through recycling (water, waste or material)",,22.0
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,3.3
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to increased environmental protection activities,,15.5
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution",,15.5
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions,,5.0
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to the end user or consumer,,28.7
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,10.3
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Reduced material use or increased recycling for the end user or consumer,,18.4
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,8.4
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions for the end user or consumer,,4.4
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Innovations with other environmental benefits,,11.4
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),Innovations with any environmental benefits,,52.5
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits from production through efficient use of resources,,44.9
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced material use per unit of output,,26.5
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced energy use per unit of output,,19.1
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,20.3
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),"Reduced consumption of resources through recycling (water, waste or material)",,34.9
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,4.4
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to increased environmental protection activities,,22.7
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution",,16.3
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions,,19.0
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to the end user or consumer,,34.1
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,17.0
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),Reduced material use or increased recycling for the end user or consumer,,31.7
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,12.2
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions for the end user or consumer,,11.8
2017/2019,Canada,"Administrative and support, waste management and remediation services",Medium-sized enterprises (100 to 249 employees),Innovations with other environmental benefits,,12.4
2017/2019,Canada,"Administrative and support, waste management and remediation services",Large enterprises (250 and more employees),Innovations with any environmental benefits,,45.2
2017/2019,Canada,"Administrative and support, waste management and remediation services",Large enterprises (250 and more employees),Innovations with environmental benefits from production through efficient use of resources,,37.5
2017/2019,Canada,"Administrative and support, waste management and remediation services",Large enterprises (250 and more employees),Improved resource efficiency through reduced material use per unit of output,,23.2
